Link;x;y;00:00:00;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00
10646;454755.54111373716;5737518.284051996;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1489;454899.9376378218;5734663.522846357;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10647;454920.68970344245;5737341.431095861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
1487;454892.4544593053;5734694.176916927;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10649;455048.25828489754;5737216.917590988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1486;454893.40299387684;5734838.550323621;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1485;454876.8974469106;5734766.557338198;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
4510;455683.3587841019;5735488.686919384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0
3664;454852.92498585815;5734269.849951012;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4511;455850.65484437475;5735829.968848933;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3665;455061.7433063756;5734312.705594389;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
10640;454401.02894547273;5736642.487751957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
3666;455061.7433063756;5734312.705594389;0;0;0;0;0;0;1;2;3;1;0;0;0;0;0;3;4;2;0;0;0;0;0;0
4513;456476.0747788502;5736852.432106413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
3667;455059.51828648703;5734146.165390164;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10642;454415.3110296687;5736540.508645695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
3668;455156.8195620239;5734367.136920858;0;0;0;0;0;0;1;1;5;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0
4515;456463.0845822997;5736860.463760524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
10644;454431.31292443007;5736495.795423075;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;2;1;3;1;1;0;0;0;0
3669;455264.9678775344;5734148.239869027;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1009;458442.84868420137;5731710.658798173;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5848;451358.0501702989;5730260.803965503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3682;455803.8500781227;5737875.696848928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
4530;456372.93224114645;5738561.684160021;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5862;453706.3554683487;5730306.451859963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6708;453629.3796829782;5735196.949147795;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10613;454031.8326518086;5736236.880128498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
10612;454040.3586475761;5736190.5544360485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
10615;454040.3586475761;5736190.5544360485;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
6709;453645.1343963489;5735268.033193997;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10614;454037.2114089064;5736145.136205043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10617;453628.5456659681;5734025.102491487;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1499;455751.07426944876;5730208.909628584;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1015;448598.45123206463;5733717.064933245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1498;454919.3427288618;5734595.32350556;0;0;0;0;0;0;1;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
