vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
taxi13;195655.67;186433.28;9222.4;359732.9
taxi0;177122.28;163659.76;13462.52;357131.87
taxi16;76750.8;74073.29;2677.51;187249.44
taxi1;221135.59;201532.93;19602.65;446608.41
taxi15;70935.21;67024.79;3910.42;139545.44
taxi2;95057.73;90372.1;4685.63;214314.89
taxi18;27187.58;23087.08;4100.5;41967.17
taxi3;195673.16;185788.18;9884.98;405189.74
taxi17;162081.36;150052.21;12029.15;301544.57
taxi4;75438.24;69386.06;6052.17;144412.69
taxi5;92635.95;87392.88;5243.07;182684.98
